Land;Auslandsvertretung;Ehegattennachzug;Kindernachzug;Sonst_Familiennachzug;Studium;Sprachkurs_Schulbesuch;Erwerbstätigkeit;JüdischeZuwanderung;Spätaussiedler;HumanitäreAufnahmeResettlement;SonstigeAufenthaltszwecke;Gesamt
Afghanistan;Kabul;356;400;81;34;17;6;0;0;0;13;907
Ägypten;Kairo;1097;801;113;2394;46;1057;0;0;1107;101;6716
Albanien;Tirana;1343;1181;43;498;243;4914;0;0;0;38;8260
Algerien;Algier;300;55;34;33;145;155;0;0;0;85;807
Angola;Luanda;8;8;5;5;4;13;0;0;0;16;59
Argentinien;Buenos Aires;125;29;22;300;43;1183;0;0;0;15;1717
Armenien;Eriwan;175;84;1;184;38;209;4;5;0;66;766
Aserbaidschan;Baku;261;188;10;396;41;307;21;18;0;38;1280
"Äthiopien";Addis Abeba;304;524;8;198;2;27;0;0;361;163;1587
Australien;Canberra;0;0;0;0;0;1;0;0;0;23;24
Australien;Sydney;70;24;7;86;16;557;0;0;1;12;773
Bahrain;Manama;31;25;2;61;6;30;0;0;0;2;157
Bangladesch;Dhaka;304;107;4;1401;1;85;0;0;0;30;1932
Belgien;Brüssel;54;18;0;68;3;241;0;0;0;9;393
Benin;Cotonou;18;14;2;19;3;36;0;0;0;14;106
Bolivien;La Paz;56;3;13;110;136;99;0;0;0;42;459
Bosnien und Herzegowina;Sarajewo;2604;2362;33;187;65;11939;0;0;1;63;17254
Botsuana;Gaborone;1;0;4;11;5;6;0;0;0;12;39
Brasilien;Porto Alegre;87;26;0;21;8;403;0;0;0;3;548
Brasilien;Recife;17;8;1;14;10;218;0;0;0;7;275
Brasilien;Rio de Janeiro;52;14;0;31;11;591;0;0;0;5;704
Brasilien;São Paulo;138;44;0;50;28;1300;0;0;0;61;1621
Bulgarien;Sofia;29;0;2;10;4;113;0;0;0;21;179
Burkina Faso;Ouagadougou;22;10;5;29;2;43;0;0;12;25;148
Chile;Santiago de Chile;164;40;15;341;87;696;0;0;0;66;1409
China;Chengdu;115;32;7;1076;42;317;0;0;0;14;1603
China;Hongkong;78;17;45;457;67;262;0;0;0;7;933
China;Kanton;240;158;33;1203;86;707;0;0;0;46;2473
China;Peking;549;360;16;5334;137;1855;0;0;0;262;8513
China;Shanghai;557;317;51;3816;295;1689;0;0;0;47;6772
China;Shenyang;130;62;15;952;52;453;0;0;0;15;1679
Costa Rica;San José;54;23;16;127;59;113;0;0;0;12;404
Côte d'Ivoire;Abidjan;41;39;11;34;1;92;0;0;0;13;231
Dänemark;Kopenhagen;44;29;1;32;2;162;0;0;0;1;271
Dominikanische Republik;Santo Domingo;149;88;60;20;13;34;0;0;0;18;382
Ecuador;Quito;83;20;12;263;148;200;0;0;0;23;749
El Salvador;San Salvador;0;0;1;1;1;40;0;0;0;6;49
Estland;Tallinn;17;11;0;19;0;237;0;0;0;0;284
Finnland;Helsinki;15;5;1;31;0;80;0;0;0;4;136
Frankreich;Paris;101;19;18;103;10;591;0;0;0;11;853
