Land;Auslandsvertretung;Ehegattennachzug;Elternnachzug;Kindernachzug;Sonst_Familiennachzug;Studium;Sprachkurs_Schulbesuch;Erwerbstätigkeit;JüdischeZuwanderung;Spätaussiedler;HumanitäreAufnahmeResettlement;SonstigeAufenthaltszwecke;Gesamt
Ägypten;Kairo;1399;74;974;8;2499;12;2121;0;0;1092;151;8330
Albanien;Tirana;2566;46;1819;6;429;74;6902;0;0;0;59;11901
Algerien;Algier;451;20;124;1;242;937;706;0;0;0;107;2588
Angola;Luanda;19;1;6;0;10;9;13;0;0;0;106;164
Argentinien;Buenos Aires;194;21;35;2;242;76;618;0;0;0;5;1193
Armenien;Eriwan;222;6;74;0;208;55;228;0;20;54;87;954
Aserbaidschan;Baku;298;11;213;0;776;37;1639;2;338;2;94;3410
Äthiopien;Addis Abeba;754;21;721;1;177;6;99;0;0;4;125;1908
Australien;Canberra;1;0;0;0;0;0;0;0;0;0;13;14
Australien;Sydney;89;11;34;0;114;16;875;0;0;0;13;1152
Bahrain;Manama;26;4;20;1;119;5;66;0;0;0;10;251
Bangladesch;Dhaka;676;0;216;2;1723;0;128;0;0;0;29;2774
Belarus;Minsk;349;13;207;0;132;24;426;19;1154;29;72;2425
Belgien;Brüssel;63;5;13;0;78;3;208;0;0;0;5;375
Benin;Cotonou;35;14;35;0;35;9;151;0;0;3;22;304
Bolivien;La Paz;31;9;9;1;106;59;181;0;0;0;52;448
Bosnien und Herzegowina;Sarajewo;2072;19;1845;1;99;31;8520;0;0;2;26;12615
Botsuana;Gaborone;4;1;2;1;12;0;26;0;0;0;0;46
Brasilien;Porto Alegre;26;0;13;0;19;9;316;0;0;0;1;384
Brasilien;Recife;7;0;4;0;10;3;372;0;0;0;2;398
Brasilien;Rio de Janeiro;18;3;11;1;19;3;550;0;0;0;22;627
Brasilien;São Paulo;126;3;43;0;66;18;1235;0;0;0;6;1497
Bulgarien;Sofia;15;0;2;0;13;9;204;0;0;0;15;258
Burkina Faso;Ouagadougou;43;1;13;1;79;3;170;0;0;1;5;316
Chile;Santiago de Chile;160;9;57;0;325;95;775;0;0;0;42;1463
China;Chengdu;110;11;64;0;1015;141;669;0;0;0;21;2031
China;Hongkong;62;8;16;0;332;29;172;0;0;0;10;629
China;Kanton;266;21;164;0;1241;129;1435;0;0;0;10;3266
China;Peking;542;13;389;6;3846;177;2393;0;0;0;176;7542
China;Shanghai;539;49;326;1;2913;292;2739;0;0;0;11;6870
China;Shenyang;123;9;80;2;524;111;583;0;0;1;16;1449
Costa Rica;San José;41;6;12;5;108;42;101;0;0;0;13;328
Côte d’Ivoire;Abidjan;70;4;30;0;102;5;109;0;0;0;24;344
Dänemark;Kopenhagen;31;3;10;0;64;6;180;0;0;0;3;297
Dominikanische Republik;Santo Domingo;101;36;63;1;26;47;37;0;0;0;24;335
Ecuador;Quito;97;10;33;7;407;215;296;0;0;0;19;1084
El Salvador;San Salvador;2;0;2;0;0;1;102;0;0;0;4;111
Estland;Tallinn;20;0;7;0;11;1;143;0;0;0;0;182
Finnland;Helsinki;43;2;20;0;44;1;149;0;0;0;2;261
Frankreich;Paris;167;11;52;2;117;40;525;0;0;0;5;919
Georgien;Tiflis;327;14;134;2;553;66;1200;9;47;212;286;2850
Ghana;Accra;234;38;244;7;1155;35;256;0;0;0;67;2036
Griechenland;Athen;96;7;54;0;24;11;327;0;0;0;74;593
Großbritannien;Edinburgh;47;1;16;0;61;1;351;0;0;0;2;479
Großbritannien;London;304;34;100;2;277;28;1975;0;0;0;73;2793
Guatemala;Guatemala-Stadt;22;8;5;0;56;30;50;0;0;0;13;184
Guinea;Conakry;112;6;90;1;28;0;8;0;0;0;23;268
Honduras;Tegucigalpa;2;1;0;0;5;2;54;0;0;0;3;67
Indien;Bangalore;2721;1;2063;0;8719;77;11949;1;0;0;0;25531
Indien;Chennai;1320;5;845;0;3385;39;2052;0;0;0;2;7648
Indien;Kalkutta;305;2;114;6;835;16;645;0;0;0;2;1925
Indien;Mumbai;1463;18;612;0;6295;29;2348;0;0;0;10;10775
Indien;New Delhi;1239;15;654;2;5580;48;2542;0;0;0;42;10122
Indonesien;Jakarta;365;28;105;0;905;30;3090;0;0;0;69;4592
Irak;Bagdad;652;11;87;2;69;8;135;0;0;0;68;1032
Irak;Erbil;1771;296;1911;12;257;7;156;0;0;244;75;4729
Iran;Teheran;3539;58;1594;4;5059;186;3448;0;0;218;230;14336
Irland;Dublin;47;0;8;0;39;11;229;0;0;0;2;336
Island;Reykjavik;1;0;0;0;0;0;4;0;0;0;0;5
Israel;Tel Aviv;116;1;116;0;203;8;417;0;0;4;12;877
Italien;Rom;147;9;26;1;193;4;462;0;0;0;6;848
Jamaika;Kingston;10;3;4;0;9;1;14;0;0;0;2;43
Japan;Osaka-Kobe;79;2;82;1;89;3;453;0;0;0;73;782
Japan;Tokyo;123;0;96;0;97;17;793;0;0;0;25;1151
Jordanien;Amman;1578;61;514;60;1465;165;2739;0;0;800;80;7462
Kambodscha;Phnom Penh;28;3;7;0;33;9;77;0;0;0;9;166
Kamerun;Jaunde;218;7;205;5;891;4;1897;0;0;2;26;3255
Kanada;Toronto;91;6;22;0;105;6;833;0;1;0;15;1079
Kasachstan;Almaty;155;7;67;1;399;22;267;0;310;12;15;1255
Kasachstan;Astana;202;17;46;0;244;22;257;11;1268;4;38;2109
Katar;Doha;81;2;46;0;222;8;111;0;0;0;36;506
Kenia;Nairobi;414;68;1049;30;555;32;605;0;0;1198;88;4039
Kirgisistan;Bischkek;82;14;53;1;140;38;1498;3;116;21;24;1990
Kolumbien;Bogotá;357;46;120;9;816;438;1611;0;0;0;89;3486
Kongo;Kinshasa;44;1;34;0;84;10;27;0;0;0;45;245
Korea;Seoul;69;20;19;0;1160;6;1326;1;0;0;53;2654
Kosovo;Pristina;4599;40;3777;2;190;8;9918;0;0;0;128;18662
Kroatien;Zagreb;20;1;3;0;3;0;1318;0;0;0;17;1362
Kuba;Havanna;189;17;82;0;15;9;118;0;0;0;21;451
Kuwait;Kuwait;52;3;30;3;139;12;51;0;0;0;31;321
Laos;Vientiane;23;0;3;0;6;7;9;0;0;0;4;52
Lettland;Riga;25;4;4;1;35;4;283;0;0;0;2;358
Libanon;Beirut;701;115;99;4;495;12;320;0;0;6;32;1784
Libanon;Beirut (SYR);5260;974;3631;38;163;2;922;0;0;504;148;11642
Litauen;Vilnius;29;3;15;0;12;1;706;0;0;0;5;771
Luxemburg;Luxemburg;9;0;1;0;8;1;50;0;0;0;1;70
Madagaskar;Antananarivo;36;4;13;0;31;22;1366;0;0;0;250;1722
Malaysia;Kuala Lumpur;117;5;45;0;545;43;324;0;0;3;17;1099
Mali;Bamako;21;5;2;0;15;1;35;0;0;0;4;83
Malta;Valletta;26;1;4;0;8;3;412;0;0;0;0;454
Marokko;Rabat;1346;35;137;0;1519;96;5237;0;0;0;92;8462
Mauretanien;Nouakchott;9;0;9;0;42;34;4;0;0;0;5;103
Mexiko;Mexiko-Stadt;481;59;140;2;1634;665;1522;0;0;0;30;4533
Moldau;Chisinau;109;9;39;3;44;8;150;4;20;0;35;421
Mongolei;Ulan Bator;53;1;64;1;196;38;563;0;0;1;22;939
Montenegro;Podgorica;223;7;149;0;50;9;1109;0;0;22;53;1622
Mosambik;Maputo;21;2;8;1;54;2;24;0;0;10;9;131
Myanmar;Rangun;56;3;21;0;177;12;968;0;0;0;5;1242
Namibia;Windhuk;25;1;10;0;90;7;326;0;0;0;8;467
Nepal;Kathmandu;237;3;28;1;461;4;291;0;0;0;34;1059
Neuseeland;Wellington;29;16;6;1;23;3;294;0;0;0;1;373
Nicaragua;Managua;10;2;5;0;18;17;28;0;0;0;5;85
Niederlande;Amsterdam;95;2;19;0;93;2;523;0;0;0;7;741
Nigeria;Abuja;8;2;8;0;47;11;22;0;0;0;60;158
Nigeria;Lagos;392;15;253;0;301;24;196;0;0;0;7;1188
